"學生代號","W","Lab01","Lab02","Lab03","Lab04","Lab05","Lab06","Lab07","Lab08","Lab09","Lab10","HW1","HW2","HW3","HW4","HW5","Mid","OT","Final","FP","點名","Bonus","總成績","Grade"
"es26dcs014","False","100","100","60","60","60","60","0","60","100","100","79.21","79.75","77.29","78.14","77.93","35.0","100.0","89","81.79","3","","80.23","A-"
"es26dcs015","True","100","100","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","","0.0","","0.0","","","2.0","E"
"es26dcs016","False","100","100","60","60","60","100","100","0","100","100","86.64","76.75","59.11","82.0","93.79","54.5","100.0","65","84.88","3","","77.43","B+"
"es26dcs017","True","100","100","60","60","60","0","0","0","0","0","83.71","76.5","0.0","0.0","0.0","71.5","0.0","","0.0","","","16.69","E"
"es26dcs018","False","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","","0.0","","0.0","0","","0.0","X"
"es26dcs019","False","100","100","60","60","60","100","100","60","100","100","99.14","95.5","91.64","88.0","96.57","77.0","70.4","89","108.18","3","","91.04","A+"
"es26dcs020","False","100","100","100","100","100","60","100","100","100","100","97.21","78.75","77.07","87.36","85.29","82.5","100.0","86","107.14","3","","92.44","A+"
"es26dcs021","True","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","","0.0","","0.0","","","0.0","X"
"es26dcs022","False","100","60","60","60","60","100","100","60","60","100","94.86","99.0","89.07","83.93","97.86","60.5","74.13","61","107.93","3","","81.98","A-"
"es26dcs023","False","100","60","60","0","60","0","0","60","100","0","69.5","73.5","48.56","0.0","78.14","34.5","0.0","","0.0","3","","22.95","E"
"es26dcs024","False","100","60","100","100","60","60","100","100","100","100","92.29","69.75","81.79","80.93","73.71","63.5","60.27","64","96.68","3","","77.24","B+"
"es26dcs025","False","100","100","60","60","60","100","100","60","60","100","89.71","88.0","56.29","87.79","97.21","52.0","73.33","71","103.79","3","","81.05","A-"
"es26dcs026","True","100","100","60","60","60","0","0","0","0","0","90.79","79.0","73.29","0.0","0.0","68.5","0.0","","0.0","","","20.53","E"
"es26dcs027","False","100","100","100","100","60","100","100","100","100","30","93.64","81.0","47.14","89.57","47.01","66.0","60.0","61","98.18","3","","75.05","B"
"es26dcs028","False","100","100","60","100","60","60","100","60","100","100","96.36","93.25","80.36","94.86","89.71","88.5","76.0","81","107.86","3","","89.66","A+"
"es26dcs029","False","100","100","60","60","60","100","100","60","100","100","80.29","85.5","49.47","84.14","94.64","61.0","73.87","75","100.25","3","","81.37","A-"
"es26dcs030","False","100","100","60","100","60","100","100","60","100","100","98.07","92.0","89.29","60.14","91.21","51.5","68.8","53","108.57","3","","78.32","B+"
"es26dcs031","False","100","60","60","60","60","60","60","60","60","100","79.0","69.5","75.57","84.0","56.8","90.5","62.4","89","94.32","3","","81.85","A-"
"es26dcs032","False","60","100","100","100","55","60","100","100","100","100","71.93","75.75","75.21","83.07","82.0","43.0","80.0","67","99.14","3","","78.45","B+"
"es26dcs033","False","100","100","100","100","100","100","60","60","0","100","88.0","75.5","80.71","88.86","89.07","77.5","61.87","91","84.46","3","","83.46","A-"
"es26dcs034","True","100","100","100","60","60","60","0","0","0","0","74.29","68.25","74.07","77.93","0.0","24.5","0.0","","0.0","","","20.74","E"
"es26dcs035","False","100","100","60","60","60","0","100","60","60","100","72.36","69.25","79.43","77.5","77.71","75.5","61.33","94","73.75","3","","78.51","B+"
"es26dcs036","False","100","100","60","60","60","100","100","60","100","100","77.71","84.75","96.36","98.71","89.5","65.0","70.93","76","97.68","3","","83.8","A-"
"es26dcs037","False","100","100","100","100","60","60","100","100","60","100","91.86","74.25","74.93","84.79","93.36","55.5","100.0","84","108.82","3","","89.04","A"
"es26dcs038","False","100","60","60","100","100","100","100","60","100","100","88.43","74.75","86.5","91.93","89.93","77.0","69.07","96","98.54","3","","89.27","A"
"es26dcs039","False","100","100","100","100","60","100","100","60","100","100","97.93","98.5","59.8","98.07","93.86","66.5","77.6","90","109.36","3","","91.08","A+"
